,type,seed,difficulty,peephole_lstm_xs,peephole_lstm_s,peephole_lstm_m,open_lstm_xs,open_lstm_s,open_lstm_m,input_lstm_xs,input_lstm_s,input_lstm_m,lstm_xs,lstm_s,lstm_m,last_value_loss,entropy
613,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,614,62,0.05065659061074257,0.03806538134813309,0.04296628385782242,0.03932444006204605,0.0384967140853405,0.03344719111919403,0.03436211124062538,0.03198608011007309,0.033342085778713226,0.034151677042245865,0.044360388070344925,0.03838975727558136,0.03179948776960373,2.753490029596495
614,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,615,62,0.005115524400025606,0.004430355038493872,0.005946918856352568,0.0039042383432388306,0.004557912237942219,0.0033384603448212147,0.003831000067293644,0.0038459766656160355,0.0033184916246682405,0.009124211966991425,0.004121655132621527,0.00357991480268538,0.0027410192415118217,2.5754406997928276
615,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,616,62,0.031503286212682724,0.02852427214384079,0.04980211332440376,0.02637997828423977,0.024567831307649612,0.02401023358106613,0.02692846767604351,0.02289382740855217,0.023405568674206734,0.03393983468413353,0.02463037706911564,0.033081766217947006,0.02252105250954628,3.0538728268753172
616,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,617,62,0.011747229844331741,0.028589200228452682,0.013106201775372028,0.010046161711215973,0.009697360917925835,0.009372841566801071,0.010295837186276913,0.008787820115685463,0.009518152102828026,0.010542950592935085,0.010076213628053665,0.009722462855279446,0.008727413602173328,2.7151479446313673
617,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,618,62,0.11372452974319458,0.05915651470422745,0.07316804677248001,0.0617719367146492,0.05881980061531067,0.05790700018405914,0.05674537643790245,0.0529293566942215,0.05704788863658905,0.06225914880633354,0.05847178027033806,0.06490135937929153,0.05287113040685654,3.0081543650640987
618,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,619,62,0.03370486944913864,0.027709554880857468,0.030899811536073685,0.025720151141285896,0.027031756937503815,0.023188326507806778,0.023124640807509422,0.022346876561641693,0.024473052471876144,0.023255856707692146,0.030334606766700745,0.0264738816767931,0.022021938115358353,2.9812698353092553
619,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,620,62,0.052445247769355774,0.043568357825279236,0.05499199032783508,0.0393449105322361,0.04098710045218468,0.038648590445518494,0.03696464002132416,0.03692656010389328,0.04404039308428764,0.03869478404521942,0.038528963923454285,0.06325159221887589,0.035896118730306625,2.912005545790578
620,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,621,63,0.02130548469722271,0.02072685770690441,0.018725672736763954,0.018250323832035065,0.021433738991618156,0.016141122207045555,0.016659652814269066,0.016869543120265007,0.016139090061187744,0.019136622548103333,0.022721216082572937,0.01817929930984974,0.01583242230117321,3.0068638818995086
621,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,622,63,0.012886397540569305,0.012051071040332317,0.013802106492221355,0.011113712564110756,0.01097139623016119,0.011704250238835812,0.010653539560735226,0.010613938793540001,0.0117195388302207,0.011950742453336716,0.01164905447512865,0.01079923752695322,0.010343942791223526,2.9665597986219137
622,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,623,63,0.050124358385801315,0.036080509424209595,0.043881483376026154,0.03255944326519966,0.04514776170253754,0.032603681087493896,0.03424393758177757,0.028952395543456078,0.03171925991773605,0.032718807458877563,0.032302532345056534,0.05590353533625603,0.028088783845305443,2.8043679344210304
