,type,seed,difficulty,lstm,custom_lstm,small_lstm,very_small_lstm,last_value_loss,entropy
351,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,352,36,0.011909828521311283,0.004643332213163376,0.003868692321702838,0.008561610244214535,0.002469224389642477,2.2450252354344995
352,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,353,36,0.12772227823734283,0.04724552109837532,0.03801833465695381,0.04626781493425369,0.03065601736307144,2.5335190844414117
353,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,354,36,0.05222802981734276,0.028749696910381317,0.021571816876530647,0.07596811652183533,0.018138103187084198,2.5008605734230485
354,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,355,36,0.05832463875412941,0.03476978838443756,0.30710041522979736,0.042223356664180756,0.02053426206111908,2.5976136593957877
355,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,356,36,0.03414805233478546,0.018216131255030632,0.013218963518738747,0.04417077451944351,0.012113438919186592,2.2602367110710597
356,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,357,36,0.03554273396730423,0.012688005343079567,0.016120444983243942,0.03797094523906708,0.01132483035326004,2.3192794796023897
357,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,358,36,0.0359659343957901,0.017493845894932747,0.22544461488723755,0.024651221930980682,0.012426279485225677,2.5069308401582306
358,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,359,36,0.01600799709558487,0.009780325926840305,0.010407271794974804,0.0124414823949337,0.008895043283700943,2.644450080649645
359,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,360,36,0.020306041464209557,0.014555657282471657,0.017712518572807312,0.018068647012114525,0.013169798068702221,2.7184346504176116
360,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,361,37,0.028370488435029984,0.01301727257668972,0.010543426498770714,0.008591867052018642,0.0080704465508461,2.5412114646887938
361,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,362,37,0.0017274810234084725,0.0014553879154846072,0.0014757844619452953,0.003107619471848011,0.000940211582928896,2.4122188347061253
362,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,363,37,0.021703531965613365,0.01602678932249546,0.019430525600910187,0.02434707246720791,0.0133247971534729,2.5316026722643863
363,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,364,37,0.008839991874992847,0.006946465000510216,0.012428415939211845,0.011265738867223263,0.0056453365832567215,2.3088789102433953
364,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,365,37,0.030275147408246994,0.017687806859612465,0.3728708028793335,0.01913280598819256,0.01627606712281704,2.5184952208427855
365,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,366,37,0.0015156137524172664,0.0007816791767254472,0.00275624031201005,0.004216149915009737,0.0003738367522601038,2.2569835914303282
366,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,367,37,0.03048013523221016,0.027165375649929047,0.01934797689318657,0.033762719482183456,0.017234008759260178,2.0576945463399703
367,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,368,37,0.02716323360800743,0.01531496923416853,0.07723165303468704,0.02210335247218609,0.01182735338807106,2.4903334469833016
368,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,369,37,0.026700086891651154,0.013226713985204697,0.011204209178686142,0.017936045303940773,0.009061182849109173,1.9815859991285796
369,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,370,37,0.04194898530840874,0.005584570113569498,0.005494778044521809,0.02263122797012329,0.00405452586710453,2.233935056698975
370,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,371,38,0.0329294428229332,0.02265770733356476,0.02558896690607071,0.03347431495785713,0.019889306277036667,2.0528329154715026
371,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,372,38,0.08280553668737411,0.03395286202430725,0.04533836990594864,0.042750969529151917,0.017601553350687027,2.693714795629847
372,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,373,38,0.01897129788994789,0.013927004300057888,0.010646248236298561,0.019687248393893242,0.008538205176591873,2.329787201987991
373,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,374,38,0.025905044749379158,0.01538299210369587,0.010747642256319523,0.01209629699587822,0.00970519706606865,2.6869223700911866
374,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,375,38,0.020969921723008156,0.014611792750656605,0.0103880874812603,0.02785046398639679,0.007815616205334663,2.5727755310404286
375,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,376,38,0.0336013063788414,0.010284995660185814,0.012061171233654022,0.02385500818490982,0.009692315943539143,2.612297865598492
