,type,seed,difficulty,dnn_xs,dnn_m,lstm_xs,open_lstm_m,last_value,regression,arima,entropy
88,size_1000_seed_89_config_multi_sinusoidal_num_sin_9_lookback_10,89,9,0.059195615351200104,0.05223811790347099,0.0327974371612072,0.003256735159084201,0.0076355705969035625,0.003852001974980045,0.0030084625825131423,2.925104204406741
89,size_1000_seed_90_config_multi_sinusoidal_num_sin_9_lookback_10,90,9,0.011935360729694366,0.013913056813180447,0.0036458135582506657,0.004218878224492073,0.0074171703308820724,0.014524007459481559,0.0030031998669996667,3.711921905302405
90,size_1000_seed_91_config_multi_sinusoidal_num_sin_10_lookback_10,91,10,0.02315468341112137,0.059058353304862976,0.01998746767640114,0.052776046097278595,0.003768103662878275,0.00200276756286621,0.00018222931527980268,2.9957241413655593
91,size_1000_seed_92_config_multi_sinusoidal_num_sin_10_lookback_10,92,10,0.009331155568361282,0.017559461295604706,0.015764575451612473,0.0019215572392567992,0.015088382177054882,0.032853703637917835,0.0017387059324323404,4.5389340290768905
92,size_1000_seed_93_config_multi_sinusoidal_num_sin_10_lookback_10,93,10,0.005564868915826082,0.007263555657118559,0.004612969700247049,0.0029137099627405405,0.006533168721944094,0.0048051993846893295,0.0006387350490740484,3.3780263891480353
93,size_1000_seed_94_config_multi_sinusoidal_num_sin_10_lookback_10,94,10,0.014840393327176571,0.011071058921515942,0.013202845118939877,0.0008755506714805961,0.00640938151627779,0.003580234448115027,0.0017894466394296235,3.250066376911038
94,size_1000_seed_95_config_multi_sinusoidal_num_sin_10_lookback_10,95,10,0.021953659132122993,0.04334215074777603,0.04302619770169258,0.020622430369257927,0.003926681354641914,0.001469137494762731,0.0004930490880280239,2.9919843593925393
95,size_1000_seed_96_config_multi_sinusoidal_num_sin_10_lookback_10,96,10,0.008277379907667637,0.02641112729907036,0.005086460616439581,0.002719553653150797,0.005499997641891241,0.004119765321413686,0.0011565839871317096,3.113760255606883
96,size_1000_seed_97_config_multi_sinusoidal_num_sin_10_lookback_10,97,10,0.01079809945076704,0.01744656078517437,0.005635220557451248,0.0038648443296551704,0.019687272608280182,0.04934624977658192,0.0037139842093632074,5.345298941449564
97,size_1000_seed_98_config_multi_sinusoidal_num_sin_10_lookback_10,98,10,0.055887918919324875,0.017504604533314705,0.014485204592347145,0.0026279285084456205,0.009903613477945328,0.011023120105266569,0.003303770092645823,3.43453507648145
98,size_1000_seed_99_config_multi_sinusoidal_num_sin_10_lookback_10,99,10,0.048152364790439606,0.03012009710073471,0.02214770019054413,0.01511242613196373,0.00975398626178503,0.0035986712361045664,0.00045996512916170976,2.921439242218816
99,size_1000_seed_100_config_multi_sinusoidal_num_sin_10_lookback_10,100,10,0.010808462277054787,0.018836701288819313,0.02154071256518364,0.00356171908788383,0.009610849432647228,0.013681513150533035,0.002926810822533808,3.7802890394228426
100,size_1000_seed_101_config_multi_sinusoidal_num_sin_11_lookback_10,101,11,0.010353509336709976,0.0068767075426876545,0.003373652696609497,0.002398616401478648,0.0017955133225768805,0.0007009975910186749,0.0006944783371183528,2.7092297199826185
101,size_1000_seed_102_config_multi_sinusoidal_num_sin_11_lookback_10,102,11,0.0048754955641925335,0.007109354715794325,0.03038213960826397,0.001941047958098352,0.008263000287115574,0.005041889727115634,0.0010239028767806053,3.3920997098107017
